iter	MultiClass
0	1.07228893
1	1.047785805
2	1.024677744
3	1.002539491
4	0.9820622969
5	0.9624938727
6	0.9447281318
7	0.9273786653
8	0.9114133456
9	0.8958078069
10	0.8812935258
11	0.8677661484
12	0.8543933214
13	0.8419697744
14	0.830062832
15	0.8185362849
16	0.8072241268
17	0.7968414751
18	0.7868568881
19	0.7771926851
20	0.767791387
21	0.7587634844
22	0.7502961512
23	0.7418484015
24	0.7343606309
25	0.7267076352
26	0.7197025003
27	0.7125482993
28	0.7057662257
29	0.6993877108
30	0.6933501466
31	0.6874280561
32	0.6818619257
33	0.6759066324
34	0.6702985098
35	0.6654532638
36	0.6605288085
37	0.6553193193
38	0.6503512642
39	0.6458358116
40	0.6415739419
41	0.6372365503
42	0.6331146769
43	0.6293769028
44	0.6252964916
45	0.6212117043
46	0.6177362546
47	0.6143569259
48	0.6108186926
49	0.6075673353
50	0.6043147917
51	0.6008402297
52	0.5978006804
53	0.5948741878
54	0.5920438469
55	0.5891043862
56	0.5864893838
57	0.5831553088
58	0.5802754995
59	0.5775383453
60	0.5752568316
61	0.5730006543
62	0.5704882137
63	0.5679023359
64	0.5657270584
65	0.5633422305
66	0.5610816123
67	0.5590913442
68	0.5576131839
69	0.555485654
70	0.5531090544
71	0.5510304968
72	0.5491619727
73	0.5473540614
74	0.5455000122
75	0.5434593292
76	0.5416093134
77	0.5398270868
78	0.5374791944
79	0.5355167872
80	0.5338708758
81	0.5320068963
82	0.530222247
83	0.5287878582
84	0.52751919
85	0.5254166541
86	0.5240599108
87	0.5228080469
88	0.5212903298
89	0.5198409136
90	0.518198553
91	0.5170170827
92	0.5156172534
93	0.5142975997
94	0.5128981284
95	0.5115816165
96	0.5104667803
97	0.5091740325
98	0.5081916927
99	0.5069626995
100	0.5055327089
101	0.5045319309
102	0.5033786551
103	0.5021400975
104	0.5003534471
105	0.4993414385
106	0.4981078375
107	0.4970706214
108	0.4963848839
109	0.4949230824
110	0.4935046738
111	0.4925610979
112	0.4915533375
113	0.4905502548
114	0.4892569219
115	0.4880536447
116	0.4865899293
117	0.4854984393
118	0.4841845877
119	0.4829226136
120	0.4816083167
121	0.480327301
122	0.479232142
123	0.4780967442
124	0.4770656748
125	0.476154755
126	0.4753231387
127	0.4744397706
128	0.4737618905
129	0.4729093256
130	0.4715736376
131	0.4708797947
132	0.469658375
133	0.4688135857
134	0.4678896648
135	0.4667423836
136	0.4657025952
137	0.464970834
138	0.4637362442
139	0.4627376083
140	0.4618629543
141	0.4612342697
142	0.4603373594
143	0.4594730296
144	0.4587964404
145	0.4582268145
146	0.4571290986
147	0.4564249444
148	0.4559044079
149	0.4551119652
150	0.4542980063
151	0.4531993109
152	0.4524014081
153	0.4516467932
154	0.4510980349
155	0.4504461161
156	0.4495196937
157	0.4483506716
158	0.4473612932
159	0.4464074031
160	0.4453933233
161	0.4446144216
162	0.4439983026
163	0.4433527504
164	0.4430298027
165	0.4425165006
166	0.4418587226
167	0.4412814529
168	0.4402005725
169	0.4395788095
170	0.4390247631
171	0.4383107452
172	0.4377977873
173	0.4374661765
174	0.4371379174
175	0.4366586433
176	0.4361153627
177	0.4358956161
178	0.4352884653
179	0.4341210318
180	0.4336443855
181	0.4329306711
182	0.4325463756
183	0.4319076539
184	0.4316637101
185	0.4305932741
186	0.4299789346
187	0.4292982091
188	0.4288053874
189	0.4281155972
190	0.4275805987
191	0.4271625432
192	0.4265323978
193	0.4261798915
194	0.4253389717
195	0.4245369773
196	0.4239058788
197	0.4232716225
198	0.4226548514
199	0.4221135199
200	0.421244277
201	0.420945033
202	0.4203653505
203	0.4197386646
204	0.419373193
205	0.4188503511
206	0.4184932894
207	0.4177389911
208	0.4174454494
209	0.4168097999
210	0.4159248914
211	0.4150039586
212	0.4146814067
213	0.4140063582
214	0.4134903731
215	0.4127264976
216	0.412389095
217	0.411883888
218	0.4116226663
219	0.411165037
220	0.4106774677
221	0.4098338248
222	0.4093053737
223	0.4089485284
224	0.4086845512
225	0.4081064537
226	0.4077174182
227	0.4070775596
228	0.4061161207
229	0.405845105
230	0.4053568378
231	0.4049255785
232	0.4044764803
233	0.4040801195
234	0.4033837442
235	0.4026546565
236	0.4019402737
237	0.4013557717
238	0.4009611254
239	0.4002716569
240	0.4000078551
241	0.3994094193
242	0.3986505368
243	0.3981234694
244	0.3977704837
245	0.3971996976
246	0.3968126231
247	0.3964431674
248	0.3961987305
249	0.3955332383
250	0.3949804131
251	0.3947521997
252	0.3940055785
253	0.3939841333
254	0.3932941996
255	0.3928644652
256	0.3923861954
257	0.3921486527
258	0.3917011239
259	0.3911488221
260	0.3909190853
261	0.3906977049
